decile,count_of_decile,sum_of_actual_outcome,min_prob_good,good,cumm_good,cumm_bad,cumm_good_perc,cumm_bad_perc,cumm_bad_avoided_perc
1,60,0,0.9750021664709234,60,60.0,0.0,0.12448132780082988,0.0,1.0
2,60,0,0.9631620248000984,60,120.0,0.0,0.24896265560165975,0.0,1.0
3,60,4,0.9453273326065729,56,176.0,4.0,0.3651452282157676,0.03389830508474576,0.9661016949152542
4,60,8,0.9278359122640427,52,228.0,12.0,0.4730290456431535,0.1016949152542373,0.8983050847457628
5,60,9,0.909117748934992,51,279.0,21.0,0.578838174273859,0.17796610169491525,0.8220338983050848
6,60,7,0.8756493587771892,53,332.0,28.0,0.6887966804979253,0.23728813559322035,0.7627118644067796
7,60,12,0.824458454225194,48,380.0,40.0,0.7883817427385892,0.3389830508474576,0.6610169491525424
8,60,13,0.7415840182979045,47,427.0,53.0,0.8858921161825726,0.4491525423728814,0.5508474576271186
9,60,34,0.5844280551618133,26,453.0,87.0,0.9398340248962656,0.7372881355932204,0.2627118644067796
10,60,31,0.016222200310879842,29,482.0,118.0,1.0,1.0,0.0
