target,derog_cnt,collect_cnt,banruptcy_ind,inq_cnt06,inq_time_last,inq_finance_cnt24,tl_time_first,tl_time_last,tl_cnt03,tl_cnt12,tl_cnt24,tl_cnt,tl_sum,tl_max_sum,tl_sat_cnt,tl_del60_cnt,tl_bad_cnt24,tl75_util_cnt,tl50_util_cnt,tl_bal_hc_pct,tl_sat_pct,tl_del3060_cnt24,tl_del90_cnt24,tl_del60_cnt_all,tl_open_pct,tl_bad_derog_cnt,tl_del60_cnt24,tl_open24_pct
1,3,3,0,4,0.0,5,117,27,0,0,0,5.0,19410.0,21147.0,16.0,2,1,3.0,3.0,0.92,0.21,2,3,7,0.21,4,4,0.0
1,15,9,0,3,1.0,3,14,14,0,0,1,1.0,16776.0,20971.0,1.0,0,0,1.0,1.0,0.8,0.0,0,0,0,1.0,12,0,1.0
1,0,0,0,1,5.0,1,354,7,0,2,10,19.0,16903.0,47593.0,21.0,1,1,4.0,5.0,0.36,0.65,0,1,1,0.73,1,1,0.53
1,8,5,0,6,1.0,10,16,4,0,2,4,3.0,18339.0,20093.0,1.0,1,0,2.0,3.0,0.91,0.25,1,1,1,0.75,7,1,1.33
1,3,1,0,9,0.0,8,130,52,0,0,0,1.0,2327.0,1860.0,3.0,4,1,1.0,1.0,1.25,0.0,0,1,4,0.14,3,1,0.0
1,1,1,1,2,2.0,0,124,3,1,4,5,5.0,5961.0,5800.0,5.0,2,0,4.0,4.0,1.03,0.5,0,0,2,0.63,0,0,1.0
1,0,0,0,1,3.0,1,148,10,0,2,6,14.0,55642.0,77854.0,24.0,0,0,7.0,9.0,0.71,0.59,3,0,0,0.52,0,0,0.43
1,3,2,0,5,1.0,3,124,2,1,4,6,7.0,14577.0,21638.0,12.0,0,0,4.0,4.0,0.67,0.53,2,0,2,0.47,1,1,0.86
1,1,1,0,2,0.0,3,286,6,0,2,6,6.0,26853.0,33562.0,5.0,6,2,3.0,4.0,0.8,0.15,1,5,6,0.46,5,5,1.0
1,0,0,0,0,15.0,0,175,25,0,0,0,10.0,36424.0,61036.0,17.0,1,0,4.0,5.0,0.6,0.61,1,0,1,0.56,0,0,0.0
1,2,2,0,5,0.0,6,177,8,0,1,7,9.0,56432.0,75953.0,19.0,1,1,4.0,7.0,0.74,0.38,3,1,2,0.43,2,2,0.78
1,8,7,0,0,23.0,1,129,16,0,0,2,3.0,8526.0,9602.0,1.0,2,2,3.0,3.0,0.89,0.0,0,2,2,0.75,9,2,0.67
1,1,0,1,8,1.0,6,168,7,0,1,4,6.0,19415.0,35027.0,9.0,16,0,3.0,4.0,0.55,0.15,3,2,18,0.22,2,4,0.67
1,0,0,0,1,6.0,2,129,8,0,1,3,14.0,15335.0,26706.0,23.0,0,0,4.0,7.0,0.57,0.48,3,0,0,0.56,0,0,0.21
1,6,3,0,1,0.0,0,59,8,0,2,3,3.0,706.0,716.0,4.0,2,1,2.0,2.0,0.99,0.5,0,1,2,0.5,4,1,1.0
1,2,2,0,8,1.0,9,96,3,1,1,1,1.0,698.0,630.0,3.0,2,2,1.0,1.0,1.11,0.4,0,2,2,0.2,3,2,1.0
1,2,2,0,2,0.0,4,248,7,0,3,7,14.0,30265.0,44493.0,28.0,0,0,7.0,9.0,0.68,0.63,2,0,1,0.47,2,1,0.5
1,0,0,0,8,1.0,10,124,4,0,6,9,12.0,44329.0,47349.0,22.0,0,0,8.0,9.0,0.94,0.71,1,0,2,0.5,0,0,0.75
1,4,4,0,13,1.0,27,42,2,1,2,3,3.0,5066.0,6354.0,3.0,1,0,2.0,2.0,0.8,0.43,0,0,1,0.43,4,0,1.0
1,1,0,0,4,1.0,2,93,20,0,0,2,19.0,40795.0,67014.0,24.0,2,2,7.0,7.0,0.61,0.52,3,4,6,0.66,4,5,0.11
1,0,0,0,3,0.0,2,446,9,0,2,9,26.0,65165.0,126906.0,33.0,0,0,5.0,7.0,0.51,0.78,3,0,0,0.7,0,0,0.35
1,0,0,0,1,2.0,1,337,11,0,2,4,17.0,45492.0,44666.0,14.0,0,0,9.0,12.0,1.02,0.31,3,0,1,0.59,0,0,0.24
1,1,1,0,1,1.0,0,134,3,1,3,7,16.0,35996.0,42432.0,18.0,0,0,9.0,11.0,0.85,0.38,3,0,0,0.62,0,0,0.44
1,5,3,0,4,1.0,11,89,3,1,3,6,7.0,13106.0,14161.0,14.0,0,0,4.0,5.0,0.93,0.38,2,1,2,0.44,6,2,0.86
1,0,0,0,4,2.0,3,118,11,0,1,1,2.0,1087.0,1091.0,4.0,1,1,2.0,2.0,1.0,0.5,0,1,1,0.33,1,1,0.5
1,0,0,0,10,1.0,3,87,3,1,2,4,11.0,16223.0,19849.0,13.0,0,0,4.0,7.0,0.82,0.6,2,0,1,0.73,0,1,0.36
1,4,1,1,2,0.0,5,201,22,0,0,1,1.0,0.0,0.0,2.0,1,0,0.0,0.0,0.0,0.33,0,0,2,0.33,1,0,1.0
1,3,1,0,4,1.0,3,234,30,0,0,0,5.0,11288.0,21709.0,6.0,3,2,3.0,4.0,0.52,0.18,2,4,5,0.45,5,5,0.0
1,5,5,0,0,8.0,0,118,4,0,6,7,8.0,17200.0,23793.0,11.0,3,1,5.0,6.0,0.72,0.69,0,2,4,0.5,4,2,0.88
1,0,0,0,1,1.0,0,74,35,0,0,0,4.0,4963.0,12283.0,4.0,3,2,2.0,2.0,0.4,0.14,2,4,7,0.57,4,5,0.0
1,3,2,0,0,11.0,0,90,9,0,1,3,3.0,4722.0,5462.0,8.0,2,1,2.0,2.0,0.86,0.17,2,2,4,0.25,3,3,1.0
1,4,2,1,3,3.0,2,221,3,1,1,1,3.0,6918.0,10212.0,9.0,5,2,1.0,2.0,0.68,0.33,0,2,5,0.2,3,2,0.33
1,1,1,0,2,1.0,4,206,21,0,0,1,1.0,0.0,0.0,7.0,1,0,3.1216821785591176,4.0779041709755255,0.0,0.25,0,0,3,0.13,1,0,1.0
1,1,1,0,4,1.0,5,152,11,0,1,1,3.0,9584.0,10778.0,2.0,2,0,2.0,2.0,0.89,0.25,2,1,2,0.75,1,2,0.33
1,0,0,0,1,6.0,4,102,25,0,0,0,14.0,34506.0,37617.0,17.0,3,2,9.0,11.0,0.92,0.43,3,4,4,0.61,4,4,0.0
1,0,0,0,3,0.0,1,90,16,0,0,2,3.0,1457.0,1501.0,3.0,2,0,1.0,3.0,0.97,0.43,0,0,2,0.43,0,0,0.67
1,0,0,0,5,1.0,3,216,8,0,2,2,19.0,72107.0,82531.0,30.0,0,0,11.0,12.0,0.87,0.73,0,0,0,0.63,0,0,0.11
1,2,1,1,0,8.0,2,156,6,0,1,1,3.0,176.0,176.0,2.0,2,1,2.0,2.0,1.0,0.0,3,1,3,0.43,2,1,0.33
1,0,0,0,1,3.0,6,165,27,0,0,0,8.0,22310.0,27277.0,2.0,10,8,4.0,5.0,0.82,0.07,2,9,11,0.57,9,10,0.0
1,1,1,0,2,1.0,1,138,6,0,1,5,10.0,16770.0,17258.0,18.0,0,0,7.0,8.0,0.97,0.39,3,0,2,0.56,1,1,0.5
1,8,5,1,4,2.0,7,139,7,0,2,3,5.0,1181.0,1138.0,0.0,11,5,3.0,3.0,1.04,0.0,2,5,11,0.36,10,6,0.6
1,0,0,0,7,0.0,9,51,2,3,6,10,12.0,29292.0,46703.0,14.0,1,1,6.0,9.0,0.63,0.65,1,1,1,0.71,1,1,0.83
1,2,2,0,0,17.0,0,414,46,0,0,0,1.0,3548.0,3000.0,10.0,1,0,1.0,1.0,1.18,0.09,0,1,3,0.09,2,1,0.0
1,1,1,0,7,0.0,2,105,27,0,0,0,3.0,22537.0,35577.0,10.0,2,1,1.0,2.0,0.63,0.46,0,1,4,0.23,2,1,0.0
1,1,1,0,2,2.0,3,126,1,2,3,9,6.0,27313.0,29786.0,10.0,0,0,4.0,4.0,0.92,0.29,3,0,1,0.35,0,1,1.5
1,1,0,1,5,1.0,13,236,9,0,3,8,12.0,45337.0,62466.0,22.0,16,2,4.0,5.0,0.73,0.36,0,2,16,0.31,2,2,0.67
1,0,0,0,0,0.0,0,96,3,1,1,1,4.0,20068.0,27461.0,17.0,1,0,2.0,2.0,0.73,0.32,0,1,1,0.21,1,1,0.25
1,1,1,0,1,1.0,2,54,2,1,2,2,4.0,9251.0,9668.0,1.0,3,1,4.0,4.0,0.96,0.0,0,3,3,0.8,3,3,0.5
1,0,0,0,13,2.0,21,71,3,1,8,15,16.0,44095.0,50191.0,36.0,3,0,12.0,14.0,0.88,0.53,3,1,4,0.37,1,4,0.94
1,0,0,0,3,4.0,2,118,6,0,5,8,5.0,5576.0,11473.0,10.0,0,0,3.0,3.0,0.49,0.53,2,0,1,0.33,0,1,1.6
1,0,0,0,0,8.0,0,107,5,0,2,4,4.0,12546.0,24224.0,7.0,0,0,2.0,2.0,0.52,0.18,3,0,2,0.36,0,2,1.0
1,3,3,0,4,1.0,3,142,11,0,1,1,5.0,28966.0,42212.0,7.0,9,7,2.0,3.0,0.69,0.19,0,7,9,0.31,9,7,0.2
1,0,0,0,4,0.0,7,160,3,1,7,12,11.0,19163.0,22263.0,20.0,0,0,6.0,6.0,0.86,0.46,3,0,4,0.39,0,1,1.09
1,1,0,0,1,5.0,0,90,17,0,0,1,2.0,5835.0,7488.0,2.0,0,0,1.0,1.0,0.78,0.0,0,1,1,1.0,2,1,0.5
1,2,2,0,0,0.0,0,117,37,0,0,0,2.0,729.0,1788.0,4.0,1,0,0.0,0.0,0.41,0.5,0,1,2,0.33,3,1,0.0
1,0,0,0,1,3.0,0,161,16,0,0,7,11.0,11565.0,22899.0,21.0,2,2,3.0,6.0,0.51,0.42,0,2,3,0.42,2,2,0.64
