TARGET,ID,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
1,000582,3,3,0,4,0,5,117,27,0,0,0,5,"$19,410","$21,147",16,2,1,3,3,92% ,21% ,2,3,7,21% ,4,4,0% 
1,000662,15,9,0,3,1,3,14,14,0,0,1,1,"$16,776","$20,971",1,0,0,1,1,80% ,0% ,0,0,0,100% ,12,0,100% 
1,000805,0,0,0,1,5,1,354,7,0,2,10,19,"$16,903","$47,593",21,1,1,4,5,36% ,65% ,0,1,1,73% ,1,1,53% 
1,001175,8,5,0,6,1,10,16,4,0,2,4,3,"$18,339","$20,093",1,1,0,2,3,91% ,25% ,1,1,1,75% ,7,1,133% 
1,001373,3,1,0,9,0,8,130,52,0,0,0,1,"$2,327","$1,860",3,4,1,1,1,125% ,0% ,0,1,4,14% ,3,1,0% 
1,001483,1,1,1,2,2,0,124,3,1,4,5,5,"$5,961","$5,800",5,2,0,4,4,103% ,50% ,0,0,2,63% ,0,0,100% 
1,001514,0,0,0,1,3,1,148,10,0,2,6,14,"$55,642","$77,854",24,0,0,7,9,71% ,59% ,3,0,0,52% ,0,0,43% 
1,001911,3,2,0,5,1,3,124,2,1,4,6,7,"$14,577","$21,638",12,0,0,4,4,67% ,53% ,2,0,2,47% ,1,1,86% 
1,002596,1,1,0,2,0,3,286,6,0,2,6,6,"$26,853","$33,562",5,6,2,3,4,80% ,15% ,1,5,6,46% ,5,5,100% 
1,002767,0,0,0,0,15,0,175,25,0,0,0,10,"$36,424","$61,036",17,1,0,4,5,60% ,61% ,1,0,1,56% ,0,0,0% 
1,002875,2,2,0,5,0,6,177,8,0,1,7,9,"$56,432","$75,953",19,1,1,4,7,74% ,38% ,3,1,2,43% ,2,2,78% 
1,002884,8,7,0,0,23,1,129,16,0,0,2,3,"$8,526","$9,602",1,2,2,3,3,89% ,0% ,0,2,2,75% ,9,2,67% 
1,002940,1,0,1,8,1,6,168,7,0,1,4,6,"$19,415","$35,027",9,16,0,3,4,55% ,15% ,3,2,18,22% ,2,4,67% 
1,003060,0,0,0,1,6,2,129,8,0,1,3,14,"$15,335","$26,706",23,0,0,4,7,57% ,48% ,3,0,0,56% ,0,0,21% 
1,003132,6,3,0,1,0,0,59,8,0,2,3,3,$706,$716,4,2,1,2,2,99% ,50% ,0,1,2,50% ,4,1,100% 
1,003190,2,2,0,8,1,9,96,3,1,1,1,1,$698,$630,3,2,2,1,1,111% ,40% ,0,2,2,20% ,3,2,100% 
1,004032,2,2,0,2,0,4,248,7,0,3,7,14,"$30,265","$44,493",28,0,0,7,9,68% ,63% ,2,0,1,47% ,2,1,50% 
1,004408,0,0,0,8,1,10,124,4,0,6,9,12,"$44,329","$47,349",22,0,0,8,9,94% ,71% ,1,0,2,50% ,0,0,75% 
